"Station",Date,"Time",Depth_Matching,Depth,NomDepth,Bottle,Temp,"qcT",Salinity,"qcS","rqcS",Salinity_lab,Cond,"qcC",Density,"qcDensity",DO,"qcDO","rqcDO",DO_raw,"qcDO_raw","rqcDO_raw",DO_corr,"qcDO_corr",DO_lab,"qcDO_lab",DO_lab_holding,DOSat,"qcDOSat",pH,"qcPH",Xmiss_25cm,"qcXmiss_25cm",Beam_c,"qcBeam_c",Rep,Secchi,"qcSec",FC,"qcFC","rqcFC",Entero,"qcEntero","rqcEntero",Chla_lab,"qcChla_lab","rqcChla_lab",Chla_raw,"qcChla_raw",Pheo,"qcPheo","rqcPheo",NO3(uM)D,"qcNO3(uM)D",NO2(uM)D,"qcNO2(uM)D",NH4(uM)D,"qcNH4(uM)D",PO4(uM)D,"qcPO4(uM)D",SiOH4(uM)D,"qcSiOH4(uM)D",NO23D,"qcNO23D","rqcNO23D",NO2D,"qcNO2D","rqcNO2D",NH43D,"qcNH43D","rqcNH43D",OPD,"qcOPD","rqcOPD",NO23T,"qcNO23T","rqcNO23T",NO2T,"qcNO2T","rqcNO2T",NH4T,"qcNH4T","rqcNH4T",NH3UN,"qcNH3UN",PT,"qcPT","rqcPT",OPT,"qcOPT","rqcOPT",Turbidity,"qcTurb","rqcTurb",TOC,"qcTOC","rqcTOC","Remarks","CTD",station_id
"NRR001",1/17/1989,"1120",0.500,0.5,0,,8.90,"4",29,"4","",,47600,"4",22.44,"C",,"","",,"","",,"",,"",,,"",8.1,"3",,"",,"",1,7,"1",1,"1","K",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.370,"2","",0.010,"2","K",0.010,"2","",0,"C",0.170,"2","",0.090,"2","",1,"4","",,"","","","",83
"NRR001",1/17/1989,"1120",10,10,10,,8.90,"4",28,"4","",,47530,"4",21.66,"C",,"","",,"","",,"",,"",,,"",8.1,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.370,"2","",0.010,"2","K",0.010,"2","",0,"C",0.180,"2","",0.080,"2","",1,"4","",,"","","","",83
"NRR001",1/17/1989,"1120",30,30,30,,8.90,"4",29,"4","",,47380,"4",22.44,"C",,"","",,"","",,"",,"",,,"",8.1,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.370,"2","",0.010,"2","K",0.010,"2","",0,"C",0.170,"2","",0.090,"2","",1,"4","",,"","","","",83
"NRR001",2/27/1989,"1130",0.500,0.5,0,,8.40,"4",31,"4","",,46000,"4",24.08,"C",,"","",,"","",,"",,"",,,"",8.2,"3",,"",,"",1,7.5,"1",2,"1","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.390,"2","",0.010,"2","K",0.010,"2","K",0,"C",0.090,"2","",0.080,"2","",1,"4","K",,"","","","",83
"NRR001",2/27/1989,"1130",10,10,10,,8.20,"4",30,"4","",,45000,"4",23.32,"C",,"","",,"","",,"",,"",,,"",8,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.390,"2","",0.010,"2","K",0.010,"2","K",0,"C",0.110,"2","",0.070,"2","",1,"4","",,"","","","",83
"NRR001",2/27/1989,"1130",30,30,30,,8.40,"4",31,"4","",,46000,"4",24.08,"C",,"","",,"","",,"",,"",,,"",7.9,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.390,"2","",0.010,"2","K",0.010,"2","K",0,"C",0.090,"2","",0.080,"2","",1,"4","",,"","","","",83
"NRR001",3/20/1989,"1315",0.500,0.5,0,,8.40,"4",30,"4","",,42300,"4",23.29,"C",,"","",,"","",,"",,"",,,"",7.7,"3",,"",,"",1,8.5,"1",1,"1","K",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.360,"2","",0.010,"2","K",0.010,"2","K",,"",0.029,"2","",0.080,"2","",1,"4","K",,"","","","",83
"NRR001",3/20/1989,"1315",10,10,10,,7.90,"4",30,"4","",,42800,"4",23.36,"C",,"","",,"","",,"",,"",,,"",7.7,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.360,"2","",0.010,"2","K",0.010,"2","K",,"",0.034,"2","",0.080,"2","",1,"4","K",,"","","","",83
"NRR001",3/20/1989,"1315",30,30,30,,7.80,"4",30,"4","",,43000,"4",23.38,"C",,"","",,"","",,"",,"",,,"",7.7,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.370,"2","",0.010,"2","K",0.020,"2","",,"",0.085,"2","",0.080,"2","",1,"4","",,"","","","",83
"NRR001",4/17/1989,"1130",0.500,0.5,0,,9.10,"4",27,"4","",,33100,"4",20.85,"C",,"","",,"","",,"",,"",,,"",7.8,"3",,"",,"",1,5,"1",1,"1","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.270,"2","",0.010,"2","",0.010,"2","",0,"C",0.090,"2","",0.060,"2","",1,"4","",,"","","","",83
"NRR001",4/17/1989,"1130",10,10,10,,8.90,"4",28,"4","",,31400,"4",21.66,"C",,"","",,"","",,"",,"",,,"",7.8,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.280,"2","",0.010,"2","",0.010,"2","",0,"C",0.090,"2","",0.070,"2","",1,"4","",,"","","","",83
"NRR001",4/17/1989,"1130",30,30,30,,9.40,"4",27,"4","",,34000,"4",20.80,"C",,"","",,"","",,"",,"",,,"",7.8,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.280,"2","",0.010,"2","",0.010,"2","",0,"C",0.090,"2","",0.070,"2","",1,"4","",,"","","","",83
"NRR001",5/15/1989,"1130",0.500,0.5,0,,10.20,"4",28,"4","",,38600,"4",21.46,"C",,"","",,"","",,"",,"",,,"",8,"3",,"",,"",1,9,"1",1,"1","K",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.270,"2","",0.010,"2","K",0.010,"2","",,"",0.070,"2","",0.060,"2","",1,"4","K",,"","","","",83
"NRR001",5/15/1989,"1130",10,10,10,,9.70,"4",28,"4","",,39200,"4",21.54,"C",,"","",,"","",,"",,"",,,"",8,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.290,"2","",0.010,"2","K",0.010,"2","",,"",0.070,"2","",0.060,"2","",1,"4","K",,"","","","",83
"NRR001",5/15/1989,"1130",30,30,30,,9.70,"4",28,"4","",,38900,"4",21.54,"C",,"","",,"","",,"",,"",,,"",7.9,"3",,"",,"",1,,"",,"","",,"","",,"","",,"",,"","",,"",,"",,"",,"",,"",,"","",,"","",,"","",,"","",0.320,"2","",0.010,"2","K",0.010,"2","",,"",0.080,"2","",0.070,"2","",1,"4","K",,"","","","",83
