station, date,depth_m,temp_C,month,year
NRR001,11/27/1989,1,10.91,11,1989
NRR001,11/27/1989,1.5,11.06,11,1989
NRR001,11/27/1989,2.5,10.93,11,1989
NRR001,11/27/1989,3,10.91,11,1989
NRR001,11/27/1989,3.5,10.91,11,1989
NRR001,11/27/1989,4,10.92,11,1989
NRR001,11/27/1989,4.5,10.92,11,1989
NRR001,11/27/1989,5.5,10.91,11,1989
NRR001,11/27/1989,6,10.92,11,1989
NRR001,11/27/1989,7,10.92,11,1989
NRR001,11/27/1989,7.5,10.92,11,1989
NRR001,11/27/1989,8,10.92,11,1989
NRR001,11/27/1989,8.5,10.92,11,1989
NRR001,11/27/1989,9,10.91,11,1989
NRR001,11/27/1989,10,10.91,11,1989
NRR001,11/27/1989,10.5,10.92,11,1989
NRR001,11/27/1989,11.5,10.92,11,1989
NRR001,11/27/1989,12,10.92,11,1989
NRR001,11/27/1989,12.5,10.92,11,1989
NRR001,11/27/1989,13,10.92,11,1989
NRR001,11/27/1989,13.5,10.91,11,1989
NRR001,11/27/1989,14,10.91,11,1989
NRR001,11/27/1989,14.5,10.91,11,1989
NRR001,11/27/1989,15,10.92,11,1989
NRR001,11/27/1989,15.5,10.91,11,1989
NRR001,11/27/1989,16.5,10.91,11,1989
NRR001,11/27/1989,17,10.91,11,1989
NRR001,11/27/1989,17.5,10.91,11,1989
NRR001,11/27/1989,18,10.91,11,1989
NRR001,11/27/1989,18.5,10.91,11,1989
NRR001,11/27/1989,19,10.91,11,1989
NRR001,11/27/1989,19.5,10.91,11,1989
NRR001,11/27/1989,20,10.91,11,1989
NRR001,11/27/1989,20.5,10.91,11,1989
NRR001,11/27/1989,21,10.91,11,1989
NRR001,11/27/1989,21.5,10.91,11,1989
NRR001,11/27/1989,22,10.91,11,1989
NRR001,11/27/1989,22.5,10.91,11,1989
NRR001,11/27/1989,23,10.91,11,1989
NRR001,11/27/1989,23.5,10.91,11,1989
NRR001,11/27/1989,24,10.9,11,1989
NRR001,11/27/1989,24.5,10.9,11,1989
NRR001,11/27/1989,25,10.91,11,1989
NRR001,11/27/1989,25.5,10.91,11,1989
NRR001,11/27/1989,26,10.91,11,1989
NRR001,11/27/1989,26.5,10.92,11,1989
NRR001,11/27/1989,27,10.91,11,1989
NRR001,11/27/1989,27.5,10.92,11,1989
NRR001,11/27/1989,28,10.91,11,1989
NRR001,11/27/1989,28.5,10.91,11,1989
NRR001,11/27/1989,29,10.91,11,1989
NRR001,11/27/1989,29.5,10.91,11,1989
NRR001,11/27/1989,30,10.91,11,1989
NRR001,12/18/1989,1,10.31,12,1989
NRR001,12/18/1989,2,10.33,12,1989
NRR001,12/18/1989,3,10.31,12,1989
NRR001,12/18/1989,4,10.31,12,1989
NRR001,12/18/1989,5,10.31,12,1989
NRR001,12/18/1989,6,10.31,12,1989
NRR001,12/18/1989,7,10.31,12,1989
NRR001,12/18/1989,8,10.31,12,1989
NRR001,12/18/1989,9,10.31,12,1989
NRR001,12/18/1989,10,10.31,12,1989
NRR001,12/18/1989,11,10.31,12,1989
NRR001,12/18/1989,12,10.31,12,1989
NRR001,12/18/1989,13,10.31,12,1989
NRR001,12/18/1989,14,10.31,12,1989
NRR001,12/18/1989,15,10.31,12,1989
NRR001,12/18/1989,16,10.31,12,1989
NRR001,12/18/1989,17,10.31,12,1989
NRR001,12/18/1989,18,10.31,12,1989
NRR001,12/18/1989,19,10.31,12,1989
NRR001,12/18/1989,20,10.31,12,1989
NRR001,12/18/1989,21,10.31,12,1989
NRR001,12/18/1989,22,10.31,12,1989
NRR001,12/18/1989,23,10.31,12,1989
NRR001,12/18/1989,24,10.31,12,1989
NRR001,12/18/1989,25,10.31,12,1989
NRR001,12/18/1989,26,10.31,12,1989
NRR001,12/18/1989,27,10.31,12,1989
NRR001,12/18/1989,28,10.31,12,1989
NRR001,12/18/1989,29,10.31,12,1989
NRR001,1/29/1990,1,8.93,1,1990
NRR001,1/29/1990,2,8.93,1,1990
NRR001,1/29/1990,3,8.92,1,1990
NRR001,1/29/1990,4,8.92,1,1990
NRR001,1/29/1990,5,8.92,1,1990
NRR001,1/29/1990,6,8.92,1,1990
NRR001,1/29/1990,7,8.93,1,1990
NRR001,1/29/1990,8,8.92,1,1990
NRR001,1/29/1990,9,8.93,1,1990
NRR001,1/29/1990,10,8.93,1,1990
NRR001,1/29/1990,11,8.93,1,1990
NRR001,1/29/1990,12,8.92,1,1990
NRR001,1/29/1990,13,8.93,1,1990
NRR001,1/29/1990,14,8.93,1,1990
NRR001,1/29/1990,15,8.93,1,1990
NRR001,1/29/1990,16,8.93,1,1990
NRR001,1/29/1990,17,8.93,1,1990
NRR001,1/29/1990,18,8.93,1,1990
NRR001,1/29/1990,19,8.93,1,1990
NRR001,1/29/1990,20,8.93,1,1990
NRR001,1/29/1990,21,8.93,1,1990
NRR001,1/29/1990,22,8.93,1,1990
NRR001,1/29/1990,23,8.93,1,1990
NRR001,1/29/1990,24,8.94,1,1990
NRR001,1/29/1990,25,8.94,1,1990
NRR001,1/29/1990,26,8.94,1,1990
NRR001,1/29/1990,27,8.94,1,1990
NRR001,1/29/1990,28,8.94,1,1990
NRR001,1/29/1990,29,8.94,1,1990
NRR001,2/26/1990,1,8.13,2,1990
NRR001,2/26/1990,2,8.12,2,1990
NRR001,2/26/1990,3,8.11,2,1990
NRR001,2/26/1990,4,8.11,2,1990
NRR001,2/26/1990,5,8.12,2,1990
NRR001,2/26/1990,6,8.11,2,1990
NRR001,2/26/1990,7,8.11,2,1990
NRR001,2/26/1990,8,8.11,2,1990
NRR001,2/26/1990,9,8.11,2,1990
NRR001,2/26/1990,10,8.1,2,1990
NRR001,2/26/1990,11,8.1,2,1990
NRR001,2/26/1990,12,8.1,2,1990
NRR001,2/26/1990,13,8.1,2,1990
NRR001,2/26/1990,14,8.1,2,1990
NRR001,2/26/1990,15,8.1,2,1990
NRR001,2/26/1990,16,8.1,2,1990
NRR001,2/26/1990,17,8.1,2,1990
NRR001,2/26/1990,18,8.11,2,1990
NRR001,2/26/1990,19,8.11,2,1990
NRR001,2/26/1990,20,8.11,2,1990
NRR001,2/26/1990,21,8.11,2,1990
NRR001,2/26/1990,22,8.11,2,1990
NRR001,2/26/1990,23,8.11,2,1990
NRR001,2/26/1990,24,8.12,2,1990
NRR001,2/26/1990,25,8.12,2,1990
NRR001,2/26/1990,26,8.12,2,1990
NRR001,2/26/1990,27,8.12,2,1990
NRR001,2/26/1990,28,8.12,2,1990
NRR001,2/26/1990,29,8.13,2,1990
NRR001,2/26/1990,30,8.14,2,1990
NRR001,2/26/1990,31,8.15,2,1990
NRR001,4/16/1990,1,8.95,4,1990
NRR001,4/16/1990,2,8.96,4,1990
NRR001,4/16/1990,3,8.94,4,1990
NRR001,4/16/1990,4,8.93,4,1990
NRR001,4/16/1990,5,8.92,4,1990
NRR001,4/16/1990,6,8.91,4,1990
NRR001,4/16/1990,7,8.89,4,1990
NRR001,4/16/1990,8,8.88,4,1990
NRR001,4/16/1990,9,8.88,4,1990
NRR001,4/16/1990,10,8.88,4,1990
NRR001,4/16/1990,11,8.89,4,1990
NRR001,4/16/1990,12,8.91,4,1990
NRR001,4/16/1990,13,8.9,4,1990
NRR001,4/16/1990,14,8.89,4,1990
NRR001,4/16/1990,15,8.88,4,1990
NRR001,4/16/1990,16,8.88,4,1990
NRR001,4/16/1990,17,8.86,4,1990
NRR001,4/16/1990,18,8.87,4,1990
NRR001,4/16/1990,19,8.87,4,1990
NRR001,4/16/1990,20,8.87,4,1990
NRR001,4/16/1990,21,8.86,4,1990
NRR001,4/16/1990,22,8.86,4,1990
NRR001,4/16/1990,23,8.86,4,1990
NRR001,4/16/1990,24,8.87,4,1990
NRR001,4/16/1990,25,8.87,4,1990
NRR001,4/16/1990,26,8.87,4,1990
NRR001,4/16/1990,27,8.87,4,1990
NRR001,4/16/1990,28,8.86,4,1990
NRR001,4/16/1990,29,8.86,4,1990
NRR001,4/16/1990,30,8.86,4,1990
NRR001,4/16/1990,31,8.86,4,1990
NRR001,5/21/1990,1,9.03,5,1990
NRR001,5/21/1990,2,9.03,5,1990
NRR001,5/21/1990,3,9.02,5,1990
NRR001,5/21/1990,4,9.03,5,1990
NRR001,5/21/1990,5,9.03,5,1990
NRR001,5/21/1990,6,9.03,5,1990
NRR001,5/21/1990,7,9.02,5,1990
NRR001,5/21/1990,8,9,5,1990
NRR001,5/21/1990,9,9,5,1990
NRR001,5/21/1990,10,8.98,5,1990
NRR001,5/21/1990,11,8.99,5,1990
NRR001,5/21/1990,12,8.98,5,1990
NRR001,5/21/1990,13,8.98,5,1990
NRR001,5/21/1990,14,8.98,5,1990
NRR001,5/21/1990,15,9,5,1990
NRR001,5/21/1990,16,9.01,5,1990
NRR001,5/21/1990,17,9.02,5,1990
NRR001,5/21/1990,18,9.03,5,1990
