station, date, time, depth (meters), salinity (psu), temperature (centigrade), density (sigma t), chlorophyll raw (ug/l), dissolved oxygen (mg/l) raw, dissolved oxygen (mg/l) adjusted, light transmission (%), pH
NRR001,11/27/1989,1155,1,30.55,10.91,23.33,,6.9,,85.1,7.9
NRR001,11/27/1989,1155,1.5,30.27,11.06,23.09,,6.9,,89.7,7.9
NRR001,11/27/1989,1155,2.5,30.36,10.93,23.18,,6.9,,91.4,7.9
NRR001,11/27/1989,1155,3,30.37,10.91,23.19,,7,,91.3,7.9
NRR001,11/27/1989,1155,3.5,30.37,10.91,23.19,,7.2,,91.3,7.9
NRR001,11/27/1989,1155,4,30.37,10.92,23.19,,7.3,,91.3,7.9
NRR001,11/27/1989,1155,4.5,30.37,10.92,23.19,,7.3,,91.3,7.9
NRR001,11/27/1989,1155,5.5,30.38,10.91,23.19,,7.4,,91.3,7.9
NRR001,11/27/1989,1155,6,30.38,10.92,23.19,,7.4,,91.3,7.9
NRR001,11/27/1989,1155,7,30.38,10.92,23.19,,7.4,,91.3,7.9
NRR001,11/27/1989,1155,7.5,30.38,10.92,23.19,,7.4,,91.4,7.9
NRR001,11/27/1989,1155,8,30.38,10.92,23.2,,7.4,,91.5,7.9
NRR001,11/27/1989,1155,8.5,30.38,10.92,23.2,,7.4,,91.5,7.9
NRR001,11/27/1989,1155,9,30.38,10.91,23.2,,7.4,,91.5,7.9
NRR001,11/27/1989,1155,10,30.38,10.91,23.2,,7.4,,91.5,7.9
NRR001,11/27/1989,1155,10.5,30.38,10.92,23.2,,7.4,,91.5,7.9
NRR001,11/27/1989,1155,11.5,30.38,10.92,23.2,,7.4,,91.5,7.9
NRR001,11/27/1989,1155,12,30.38,10.92,23.2,,7.4,,91.5,7.9
NRR001,11/27/1989,1155,12.5,30.38,10.92,23.2,,7.4,,91.5,7.9
NRR001,11/27/1989,1155,13,30.38,10.92,23.2,,7.4,,91.6,7.9
NRR001,11/27/1989,1155,13.5,30.38,10.91,23.2,,7.4,,91.6,7.9
