station, date,depth_m,sal_psu,month,year
NRR001,11/27/1989,1,30.55,11,1989
NRR001,11/27/1989,1.5,30.27,11,1989
NRR001,11/27/1989,2.5,30.36,11,1989
NRR001,11/27/1989,3,30.37,11,1989
NRR001,11/27/1989,3.5,30.37,11,1989
NRR001,11/27/1989,4,30.37,11,1989
NRR001,11/27/1989,4.5,30.37,11,1989
NRR001,11/27/1989,5.5,30.38,11,1989
NRR001,11/27/1989,6,30.38,11,1989
NRR001,11/27/1989,7,30.38,11,1989
NRR001,11/27/1989,7.5,30.38,11,1989
NRR001,11/27/1989,8,30.38,11,1989
NRR001,11/27/1989,8.5,30.38,11,1989
NRR001,11/27/1989,9,30.38,11,1989
NRR001,11/27/1989,10,30.38,11,1989
NRR001,11/27/1989,10.5,30.38,11,1989
NRR001,11/27/1989,11.5,30.38,11,1989
NRR001,11/27/1989,12,30.38,11,1989
NRR001,11/27/1989,12.5,30.38,11,1989
NRR001,11/27/1989,13,30.38,11,1989
NRR001,11/27/1989,13.5,30.38,11,1989
NRR001,11/27/1989,14,30.38,11,1989
NRR001,11/27/1989,14.5,30.38,11,1989
NRR001,11/27/1989,15,30.38,11,1989
NRR001,11/27/1989,15.5,30.38,11,1989
NRR001,11/27/1989,16.5,30.38,11,1989
NRR001,11/27/1989,17,30.38,11,1989
NRR001,11/27/1989,17.5,30.38,11,1989
NRR001,11/27/1989,18,30.39,11,1989
NRR001,11/27/1989,18.5,30.4,11,1989
NRR001,11/27/1989,19,30.39,11,1989
NRR001,11/27/1989,19.5,30.4,11,1989
NRR001,11/27/1989,20,30.4,11,1989
NRR001,11/27/1989,20.5,30.4,11,1989
NRR001,11/27/1989,21,30.4,11,1989
NRR001,11/27/1989,21.5,30.4,11,1989
NRR001,11/27/1989,22,30.39,11,1989
NRR001,11/27/1989,22.5,30.4,11,1989
NRR001,11/27/1989,23,30.39,11,1989
NRR001,11/27/1989,23.5,30.39,11,1989
NRR001,11/27/1989,24,30.39,11,1989
NRR001,11/27/1989,24.5,30.39,11,1989
NRR001,11/27/1989,25,30.39,11,1989
NRR001,11/27/1989,25.5,30.4,11,1989
NRR001,11/27/1989,26,30.4,11,1989
NRR001,11/27/1989,26.5,30.4,11,1989
NRR001,11/27/1989,27,30.4,11,1989
NRR001,11/27/1989,27.5,30.4,11,1989
NRR001,11/27/1989,28,30.4,11,1989
NRR001,11/27/1989,28.5,30.4,11,1989
NRR001,11/27/1989,29,30.4,11,1989
NRR001,11/27/1989,29.5,30.4,11,1989
NRR001,11/27/1989,30,30.4,11,1989
NRR001,12/18/1989,1,29.73,12,1989
NRR001,12/18/1989,2,29.91,12,1989
NRR001,12/18/1989,3,29.92,12,1989
NRR001,12/18/1989,4,29.92,12,1989
NRR001,12/18/1989,5,29.92,12,1989
NRR001,12/18/1989,6,29.92,12,1989
NRR001,12/18/1989,7,29.92,12,1989
NRR001,12/18/1989,8,29.92,12,1989
NRR001,12/18/1989,9,29.92,12,1989
NRR001,12/18/1989,10,29.93,12,1989
NRR001,12/18/1989,11,29.92,12,1989
NRR001,12/18/1989,12,29.92,12,1989
NRR001,12/18/1989,13,29.92,12,1989
NRR001,12/18/1989,14,29.92,12,1989
NRR001,12/18/1989,15,29.92,12,1989
NRR001,12/18/1989,16,29.93,12,1989
NRR001,12/18/1989,17,29.93,12,1989
NRR001,12/18/1989,18,29.93,12,1989
NRR001,12/18/1989,19,29.93,12,1989
NRR001,12/18/1989,20,29.93,12,1989
NRR001,12/18/1989,21,29.93,12,1989
NRR001,12/18/1989,22,29.92,12,1989
NRR001,12/18/1989,23,29.93,12,1989
NRR001,12/18/1989,24,29.93,12,1989
NRR001,12/18/1989,25,29.93,12,1989
NRR001,12/18/1989,26,29.93,12,1989
NRR001,12/18/1989,27,29.93,12,1989
NRR001,12/18/1989,28,29.93,12,1989
NRR001,12/18/1989,29,29.93,12,1989
NRR001,2/26/1990,1,28.83,2,1990
NRR001,2/26/1990,2,28.86,2,1990
NRR001,2/26/1990,3,28.86,2,1990
NRR001,2/26/1990,4,28.87,2,1990
NRR001,2/26/1990,5,28.87,2,1990
NRR001,2/26/1990,6,28.87,2,1990
NRR001,2/26/1990,7,28.88,2,1990
NRR001,2/26/1990,8,28.89,2,1990
NRR001,2/26/1990,9,28.93,2,1990
NRR001,2/26/1990,10,28.99,2,1990
NRR001,2/26/1990,11,29.04,2,1990
NRR001,2/26/1990,12,29.05,2,1990
NRR001,2/26/1990,13,29.06,2,1990
NRR001,2/26/1990,14,29.05,2,1990
NRR001,2/26/1990,15,29.05,2,1990
NRR001,2/26/1990,16,29.06,2,1990
NRR001,2/26/1990,17,29.09,2,1990
NRR001,2/26/1990,18,29.09,2,1990
NRR001,2/26/1990,19,29.09,2,1990
NRR001,2/26/1990,20,29.1,2,1990
NRR001,2/26/1990,21,29.09,2,1990
NRR001,2/26/1990,22,29.1,2,1990
NRR001,2/26/1990,23,29.13,2,1990
NRR001,2/26/1990,24,29.19,2,1990
NRR001,2/26/1990,25,29.15,2,1990
NRR001,2/26/1990,26,29.16,2,1990
NRR001,2/26/1990,27,29.17,2,1990
NRR001,2/26/1990,28,29.16,2,1990
NRR001,2/26/1990,29,29.27,2,1990
NRR001,2/26/1990,30,29.29,2,1990
NRR001,2/26/1990,31,29.3,2,1990
NRR001,4/16/1990,1,29.11,4,1990
NRR001,4/16/1990,2,28.99,4,1990
NRR001,4/16/1990,3,28.98,4,1990
NRR001,4/16/1990,4,28.97,4,1990
NRR001,4/16/1990,5,28.97,4,1990
NRR001,4/16/1990,6,28.97,4,1990
NRR001,4/16/1990,7,28.98,4,1990
NRR001,4/16/1990,8,29,4,1990
NRR001,4/16/1990,9,29,4,1990
NRR001,4/16/1990,10,29,4,1990
NRR001,4/16/1990,11,28.99,4,1990
NRR001,4/16/1990,12,28.98,4,1990
NRR001,4/16/1990,13,28.99,4,1990
NRR001,4/16/1990,14,28.99,4,1990
NRR001,4/16/1990,15,28.99,4,1990
NRR001,4/16/1990,16,29,4,1990
NRR001,4/16/1990,17,29.01,4,1990
NRR001,4/16/1990,18,29,4,1990
NRR001,4/16/1990,19,28.99,4,1990
NRR001,4/16/1990,20,29,4,1990
NRR001,4/16/1990,21,29,4,1990
NRR001,4/16/1990,22,29,4,1990
NRR001,4/16/1990,23,29,4,1990
NRR001,4/16/1990,24,28.99,4,1990
NRR001,4/16/1990,25,28.99,4,1990
NRR001,4/16/1990,26,28.99,4,1990
NRR001,4/16/1990,27,28.99,4,1990
NRR001,4/16/1990,28,29,4,1990
NRR001,4/16/1990,29,29,4,1990
NRR001,4/16/1990,30,28.99,4,1990
NRR001,4/16/1990,31,29,4,1990
NRR001,5/21/1990,1,29.78,5,1990
NRR001,5/21/1990,2,29.78,5,1990
NRR001,5/21/1990,3,29.79,5,1990
NRR001,5/21/1990,4,29.79,5,1990
NRR001,5/21/1990,5,29.79,5,1990
NRR001,5/21/1990,6,29.79,5,1990
NRR001,5/21/1990,7,29.8,5,1990
NRR001,5/21/1990,8,29.81,5,1990
NRR001,5/21/1990,9,29.81,5,1990
NRR001,5/21/1990,10,29.82,5,1990
NRR001,5/21/1990,11,29.82,5,1990
NRR001,5/21/1990,12,29.82,5,1990
NRR001,5/21/1990,13,29.83,5,1990
NRR001,5/21/1990,14,29.82,5,1990
NRR001,5/21/1990,15,29.8,5,1990
NRR001,5/21/1990,16,29.8,5,1990
NRR001,5/21/1990,17,29.79,5,1990
NRR001,5/21/1990,18,29.79,5,1990
NRR001,5/21/1990,19,29.79,5,1990
NRR001,5/21/1990,20,29.78,5,1990
NRR001,5/21/1990,21,29.79,5,1990
NRR001,5/21/1990,22,29.79,5,1990
NRR001,5/21/1990,23,29.79,5,1990
NRR001,5/21/1990,24,29.79,5,1990
NRR001,5/21/1990,25,29.79,5,1990
NRR001,5/21/1990,26,29.79,5,1990
NRR001,5/21/1990,27,29.79,5,1990
NRR001,5/21/1990,28,29.8,5,1990
NRR001,5/21/1990,29,29.8,5,1990
NRR001,5/21/1990,30,29.79,5,1990
